Year,High
1,28
2,28
3,34
4,34
5,33
6,29
7,29
8,27
9,37
10,28
11,23
12,20
13,31
14,34
15,25
16,32
17,34
18,25
19,27
20,34
21,28
22,27
23,34
24,28
25,25
